Gene	Length	SRR1554534	SRR1554535	SRR1554536	SRR1554537	SRR1554538	SRR1554539	SRR1554541	SRR1554544	SRR1554546	SRR1554549	SRR1554551	SRR1554553	SRR1554554	SRR1554556	SRR1554561	SRR1554566	SRR1554567	SRR1554568
GRIK2	5821	1084	1475	235	2114	5786	1883	8446	2048	2466	4053	2605	528	3691	1746	1752	7349	8155	6389
GRIK3	9588	2213	1909	172	11145	12468	2309	14893	2857	2331	7882	2895	796	7489	2885	3061	26973	12430	19595
GRIK4	3745	281	368	72	146	174	407	479	451	477	697	374	58	487	478	549	45	182	35
GRIK5	3904	2253	2152	504	6666	5381	2119	5476	2212	1943	3862	2192	536	3799	2020	4124	7276	4928	5529
GRIN1	5852	31496	24442	2246	7630	6788	26603	10195	10633	9308	22431	10107	3289	23684	21814	52965	4421	7425	4391
GRIN2A	15345	4469	5456	283	852	1887	12898	1425	4918	3976	9650	4578	2077	11986	7016	9283	270	1432	563
GRIN2B	5941	130	90	9	1124	2175	365	3792	200	184	236	235	60	990	118	475	161	461	278
GRIN2C	8115	1603	1691	1611	60	353	363	122	2452	1684	1501	1649	78	817	1466	1499	133	442	127
GRIN2D	5093	407	266	93	533	668	292	677	718	727	965	765	120	872	265	535	265	683	203
GRIN3A	10013	574	608	30	312	609	948	2619	2036	1764	3337	2305	951	6320	853	788	87	1632	66
GRIN3B	3254	12	26	2	83	125	10	39	33	21	46	37	2	25	31	29	203	101	87
GRINA	2165	6501	7324	1898	5089	4957	5184	6053	4236	3987	7574	4163	1063	5992	6858	8826	4756	5747	3802
GRIP1	5496	289	341	20	3264	4203	329	3902	525	576	811	698	197	1168	316	396	3876	5164	3509
GRIP2	11700	688	621	199	972	2004	640	1944	1075	1006	1522	985	261	2278	573	1196	1947	2643	1006
GRIPAP1	4592	4319	4303	718	5627	6483	4529	6467	2861	2769	4570	2874	646	4315	5051	6361	6801	6595	5568
GRK1	2098	4	1	0	5	16	3	17	1	4	3	3	2	0	11	6	16	13	14
GRK2	3444	6183	5739	1413	5786	5986	5650	6408	4110	3517	6417	3889	758	6225	5790	9596	7133	6159	4889
GRK3	9378	1982	2809	218	2983	6100	4131	8362	2743	2633	5696	3778	1173	8202	2817	3334	4060	7437	4325
GRK4	3922	288	364	110	845	963	339	951	428	435	737	615	100	627	368	335	1085	1333	879
GRK5	2925	600	505	194	1724	1432	616	1734	449	337	731	374	65	803	496	878	1721	1268	1258
GRK6	3345	968	899	239	1263	1248	718	1652	723	614	1007	674	146	789	1052	1359	1704	1528	1198
GRK7	1746	0	1	3	3	5	2	3	3	1	4	3	0	5	4	0	2	5	7
GRM1	6986	693	931	43	1021	1311	1276	2521	725	830	1243	603	291	2392	871	1293	726	1361	375
GRM2	3513	770	832	201	2695	1700	1114	2122	599	591	1186	506	184	1378	994	1710	2290	1517	2521
GRM3	4260	2689	4049	1514	8335	5146	2770	7908	8425	9333	5815	7745	599	3251	8932	3138	3719	5604	3437
GRM4	7798	270	287	24	150	358	260	562	350	221	698	279	74	739	345	398	146	485	302
GRM5	8429	635	258	19	1890	2088	1272	3382	337	347	1115	366	184	2426	636	1692	736	2149	1348
GRM5-AS1	4821	7	35	36	40	71	44	61	163	232	49	154	8	70	43	21	30	69	33
GRM6	6993	29	59	6	243	384	38	340	88	86	82	101	9	114	52	71	340	309	251
GRM7	7205	449	443	83	888	2221	718	2984	965	1427	1424	1273	349	1816	577	716	74	2414	107
GRM8	4742	209	232	51	110	105	324	158	234	193	394	225	64	315	324	345	142	247	62
GRN	2305	1004	1062	333	878	907	846	746	821	895	1349	835	169	1334	1649	1410	1568	809	694
GRP	847	21	40	71	527	428	15	3308	207	201	211	163	31	205	27	39	7	335	9
GRPEL1	2680	608	989	137	969	1155	781	1457	736	576	1022	612	129	1149	1152	1066	724	1124	680
GRPEL2	4105	243	417	87	1658	2522	583	2444	696	676	857	701	126	1143	692	363	1330	1986	1345
GRPR	2681	5	6	1	20	17	24	35	17	41	40	37	4	87	11	15	3	14	8
GRSF1	6925	2106	3995	768	3955	4779	3892	5499	2810	2428	4006	2546	755	4730	4837	3021	4845	4876	3393
GRTP1	2958	30	73	48	178	126	29	26	93	104	100	86	8	63	66	81	162	147	152
GRWD1	5570	529	484	127	1131	1105	452	1071	464	363	744	371	88	652	593	853	953	1008	688
GRXCR1	992	2	1	0	0	0	0	0	1	1	2	4	2	0	0	0	0	0	0
GRXCR2	747	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GS1-124K5.11	4760	345	407	102	801	1173	316	869	380	331	615	398	71	473	617	454	952	934	819
GS1-24F4.2	1106	0	1	0	11	28	0	6	2	4	5	4	0	4	2	0	35	17	19
GS1-279B7.1	666	0	0	0	3	11	0	1	0	0	0	1	0	0	1	0	6	4	4
GS1-600G8.3	2249	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0
GSAP	5309	326	480	145	262	257	605	329	516	568	434	609	86	592	520	404	160	487	184
GSC	1189	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GSC2	618	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	1	1
GSDMA	2189	0	2	0	1	1	1	3	5	2	1	0	1	4	1	1	1	3	2
GSDMB	3262	267	435	151	1203	1359	309	1223	564	726	894	552	85	1077	487	552	1330	1364	1021
GSDMC	2714	5	6	12	1	0	5	1	20	22	31	13	1	9	11	8	0	1	0
GSDMD	3607	176	192	222	91	110	93	111	307	227	385	209	26	316	268	244	142	108	71
GSDME	2564	480	694	174	1180	1975	856	2491	564	583	793	705	86	664	777	693	1985	2001	1476
GSE1	8654	1156	1197	255	12384	8686	1910	6621	1108	838	2285	1157	191	2052	1535	2731	8631	7014	7421
GSEC	752	24	34	13	120	142	35	133	58	55	61	30	4	73	47	24	140	152	99
GSG1	2969	8	32	7	20	38	43	48	434	247	374	233	60	168	63	38	11	41	7
GSG1L	5074	503	584	111	351	296	800	720	795	541	1901	1031	207	1848	667	936	374	869	83
GSK3A	3930	4525	4862	619	4819	5379	4202	6319	3282	2672	5047	2964	791	4507	4695	6113	3594	5840	3716
GSK3B	7118	1986	2232	452	10290	12054	4637	15032	3197	3565	5521	3793	892	6449	3918	3814	7575	10821	9118
GSKIP	2776	416	1204	143	835	914	1156	1143	638	508	927	546	101	1019	1349	661	635	889	582
GSN	5873	3569	5774	2381	655	856	2690	668	1098	1155	8229	825	174	2165	14926	3568	1268	638	665
GSPT1	7774	1306	2686	846	7300	8913	3025	10914	3100	3154	4132	3211	648	4115	3830	2235	7185	8518	6069
GSPT2	2846	456	615	97	1356	1986	623	2404	558	550	927	572	137	964	685	693	1975	2235	1685
GSR	3160	992	1176	261	2104	2206	1119	2511	1123	1090	1717	1067	351	2135	1328	1568	2480	2589	1706
GSS	2732	706	1056	273	1670	1574	796	1698	958	970	1357	954	188	974	1269	1035	2081	1801	1454
GSTA1	2134	0	4	0	2	0	31	0	0	2	20	0	1	3	2	10	1	1	0
GSTA2	1309	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0
GSTA3	913	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
GSTA4	1387	883	1768	339	5447	5479	1554	6094	1861	2116	3110	2468	528	2117	1843	1118	6934	7026	5686
GSTA5	844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSTA7P	5697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSTCD	5792	109	198	64	757	1015	185	873	282	393	462	346	56	447	363	167	773	1025	676
GSTK1	1226	882	1110	509	1027	1120	843	1295	1084	1182	1940	1103	148	1166	1232	1091	1083	1178	895
GSTM1	1185	250	0	998	599	501	155	251	921	12	389	388	0	1	1249	289	574	368	728
GSTM2	2368	515	693	410	551	1402	247	1359	799	841	1262	850	94	912	747	370	1836	1360	1417
GSTM2P1	1136	2	1	0	0	3	0	1	0	0	1	1	0	1	0	0	0	5	0
GSTM3	4205	1434	3228	2534	2183	1801	1680	2968	2988	2286	2086	2707	253	3913	2427	2577	1464	2755	1544
GSTM4	2401	419	796	287	141	307	421	122	387	302	424	391	32	365	756	568	196	345	183
GSTM5	4391	397	320	550	310	320	278	196	841	639	958	651	50	442	766	263	326	242	363
GSTO1	1310	1245	1821	447	437	806	1306	730	651	917	1347	1076	170	1388	2325	1318	617	575	424
GSTO2	2070	77	96	24	66	38	109	60	36	36	155	56	15	98	95	152	85	57	39
GSTP1	958	1135	1481	1210	2565	2877	766	2275	1758	1486	2340	1472	188	1687	1802	1047	3102	2248	1408
GSTT1	2157	513	737	343	5	381	864	327	452	440	2	541	56	557	840	515	702	11	0
GSTT2	2238	36	91	76	128	56	303	98	77	242	191	126	10	234	401	289	41	30	19
GSTT4	863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSTTP2	2070	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
GSTZ1	1722	199	272	90	183	161	159	85	167	182	253	167	10	128	436	176	249	169	120
GSX1	847	3	3	0	4	4	1	1	18	20	34	13	2	4	2	2	3	0	0
GSX2	1212	9	12	6	2	12	3	5	6	2	3	5	0	2	7	5	16	69	1
GTDC1	4809	702	1204	268	1627	2000	1541	2978	1086	905	1400	1082	253	1559	1678	1001	2077	2050	1809
GTF2A1	6487	713	1954	391	4392	4464	1845	5777	1874	2064	2634	2110	461	3374	2565	1335	3572	4777	3819
GTF2A1L	1682	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GTF2A2	1582	369	792	263	970	1269	517	1159	901	729	1079	821	139	856	884	455	895	1192	798
GTF2B	1645	302	526	124	832	1219	486	1173	532	516	686	495	88	793	684	410	1003	1172	854
GTF2E1	3033	206	394	100	702	922	276	905	340	307	408	330	62	364	476	274	725	841	634
GTF2E2	1536	207	424	91	846	1078	290	1102	388	357	510	359	82	652	404	277	1247	912	862
GTF2F1	2551	2972	2113	441	4942	4648	2506	5110	2018	1705	3467	1998	433	3639	2988	4337	5381	4616	3837
GTF2F2	1453	181	612	250	792	947	379	1028	746	724	962	685	109	754	683	205	1608	1327	1043
GTF2H1	3515	578	1008	193	1826	2050	1335	2521	1069	957	1555	977	288	1688	1347	780	2313	2457	1541
GTF2H2	3855	22	39	30	252	147	56	328	117	53	112	41	14	122	66	58	97	103	255
GTF2H2B	5930	15	69	4	238	87	10	240	87	14	26	22	5	199	57	34	30	85	274
GTF2H2C	3410	31	53	9	309	286	57	281	96	86	144	87	19	142	78	35	165	182	207
GTF2H3	3417	316	730	178	1478	1778	641	1764	714	831	1218	841	168	1123	952	497	1592	1872	1386
GTF2H4	17376	520	454	112	1787	2055	486	1769	548	599	2066	509	102	942	635	692	1454	1729	1514
GTF2H5	7486	857	1282	384	2405	3556	1469	4660	1780	1447	2339	1727	382	2657	1743	1176	3310	4164	3697
GTF2I	5337	1635	1661	482	7562	9677	2463	6537	1722	1656	2815	1880	292	3502	2533	2790	8847	7839	7036
GTF2IP1	4020	1	1	1	2	0	1	9	1	0	3	2	0	1	3	5	10	4	5
