Gene	Length	SRR1554534	SRR1554535	SRR1554536	SRR1554537	SRR1554538	SRR1554539	SRR1554541	SRR1554544	SRR1554546	SRR1554549	SRR1554551	SRR1554553	SRR1554554	SRR1554556	SRR1554561	SRR1554566	SRR1554567	SRR1554568
LINC00443	1223	21	29	2	0	0	17	0	9	1	8	9	1	23	9	4	1	1	0
LINC00446	608	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LINC00457	390	1	0	0	0	1	0	0	1	4	0	0	0	0	2	0	0	1	0
LINC00460	916	59	61	1	0	0	47	0	6	5	12	14	0	4	81	96	0	4	0
LINC00461	5038	810	1510	1129	26307	22317	1216	20704	5003	4308	4111	4295	641	5146	1653	1003	22259	26593	25081
LINC00462	1023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LINC00466	1793	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0
LINC00467	758	18	49	15	14	30	23	13	33	49	59	47	7	36	55	15	53	39	26
LINC00469	1549	0	0	1	0	2	0	7	1	0	1	1	1	2	1	0	0	1	2
LINC00470	3440	1	4	0	4	1	6	2	2	6	1	20	1	4	5	3	2	10	6
LINC00471	1282	20	27	5	37	114	22	96	23	40	29	23	9	26	28	28	58	87	71
LINC00472	2933	36	28	16	39	48	42	22	91	90	97	109	8	42	48	40	33	57	54
LINC00473	4122	28	24	13	0	2	57	0	46	19	74	38	4	24	68	79	0	8	3
LINC00474	564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00475	2187	2	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1	1	2
LINC00476	11322	247	359	129	526	478	340	932	351	286	423	344	45	354	469	491	561	642	716
LINC00477	1710	0	0	0	1	1	0	0	1	0	0	0	0	2	2	1	0	0	0
LINC00479	2114	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00482	2970	11	13	3	3	2	9	3	7	12	11	11	1	15	8	4	6	4	2
LINC00485	3719	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0
LINC00486	2474	4	15	6	6	7	11	1	7	3	3	0	0	5	70	6	10	8	10
LINC00487	2131	3	7	0	26	77	9	18	6	13	21	3	0	5	14	4	67	51	55
LINC00488	2524	15	10	2	4	1	26	5	147	97	147	91	36	247	21	32	0	4	0
LINC00489	543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00494	3953	4	5	0	0	0	8	2	1	1	9	3	1	3	6	5	0	1	0
LINC00499	541	11	6	32	0	0	17	1	1	0	0	5	1	1	22	15	0	1	0
LINC00502	540	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0
LINC00507	2129	591	615	98	1	1	2194	5	231	19	203	42	14	64	811	1255	0	4	0
LINC00511	2265	0	2	2	2	1	4	1	4	4	4	1	0	5	2	1	0	0	0
LINC00514	4186	8	11	2	8	3	5	7	7	7	12	5	1	25	20	23	4	3	4
LINC00515	450	12	30	10	11	13	21	13	32	24	36	15	3	17	22	8	11	24	18
LINC00518	3018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00520	2069	0	1	0	1	1	0	1	0	0	2	1	0	0	1	0	0	0	0
LINC00523	1627	0	1	0	0	0	1	0	1	0	1	1	0	1	1	1	0	0	0
LINC00525	1188	3	5	0	2	1	3	3	3	2	3	0	0	2	2	3	0	2	1
LINC00526	1306	101	88	47	233	321	55	354	110	123	179	91	19	107	174	69	274	315	297
LINC00534	869	0	1	0	1	1	1	1	2	2	3	0	0	2	3	0	0	0	0
LINC00535	1914	9	8	3	55	36	27	36	16	19	26	18	2	48	28	32	24	38	18
LINC00536	2692	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LINC00538	1905	0	0	0	0	3	0	4	1	1	0	0	0	0	3	0	0	0	0
LINC00544	696	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
LINC00547	3314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00548	2551	0	1	1	0	0	2	0	0	1	0	0	0	2	0	0	0	0	0
LINC00550	3433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00551	1967	3	5	0	0	0	5	2	7	2	4	9	0	11	0	1	0	1	1
LINC00552	2579	13	17	1	0	9	15	3	0	0	1	1	0	3	25	17	7	9	3
LINC00558	3163	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0
LINC00559	3865	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
LINC00563	1400	0	0	0	0	0	0	0	1	0	0	2	0	1	2	0	0	0	0
LINC00565	2478	1	7	3	23	50	5	25	9	16	16	12	0	53	17	14	32	40	16
LINC00570	1330	4	8	0	0	0	3	0	1	1	4	2	0	1	3	4	0	0	1
LINC00571	521	2	3	1	7	6	3	6	5	5	8	5	0	4	3	2	0	1	1
LINC00574	2566	31	11	7	74	130	44	71	11	12	23	8	2	20	26	61	33	90	94
LINC00575	910	0	0	0	1	2	0	4	1	3	2	2	0	0	1	3	2	1	2
LINC00578	1222	0	4	0	5	3	1	2	2	2	1	1	0	16	2	3	2	3	0
LINC00582	597	0	2	0	0	1	2	0	0	1	0	1	0	0	0	0	0	0	0
LINC00583	384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00588	1875	0	1	0	1	1	1	0	0	2	1	0	0	4	2	1	1	0	0
LINC00589	1398	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
LINC00592	1053	8	15	0	0	0	11	0	1	0	4	1	0	4	6	15	0	0	0
LINC00593	1330	2	0	3	2	2	0	1	1	0	0	0	0	4	1	1	1	1	1
LINC00595	4571	24	45	102	29	25	41	15	77	86	39	70	4	40	57	42	21	37	26
LINC00597	1497	1	0	2	2	1	1	0	1	1	0	1	0	0	2	0	1	1	1
LINC00598	5257	0	4	0	0	4	0	1	7	7	4	5	1	3	7	2	2	1	0
LINC00599	2922	3044	3929	949	19568	21398	4105	22350	3881	3989	6549	3976	559	5612	3970	4991	18609	24578	21978
LINC00601	1168	5	12	1	0	0	4	2	2	7	8	3	0	6	25	1	0	0	0
LINC00602	2065	4	1	0	0	1	4	1	4	0	3	5	1	2	2	9	1	1	0
LINC00605	1558	1	2	0	0	0	0	2	0	0	0	4	0	1	0	0	2	0	0
LINC00606	2869	7	10	2	0	5	7	8	44	18	29	52	5	9	4	4	1	8	0
LINC00607	5326	9	7	5	10	33	20	38	54	75	46	56	5	47	28	4	26	33	21
LINC00608	1556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00609	583	5	28	2	1	2	13	2	11	12	74	7	2	15	80	9	0	1	1
LINC00612	2210	1	1	0	1	7	0	6	0	0	7	3	0	9	1	4	7	2	9
LINC00615	1406	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LINC00616	2016	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
LINC00619	1121	0	2	6	0	0	3	0	8	3	0	2	0	1	0	0	0	0	0
LINC00620	994	6	5	5	3	2	4	6	10	10	10	11	2	20	10	16	4	6	3
LINC00622	1590	41	138	12	104	129	117	226	187	145	231	244	24	267	118	103	33	120	49
LINC00623	2790	3	52	2	4	13	9	3	9	10	21	10	2	88	11	43	3	1	3
LINC00624	3373	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0
LINC00626	955	0	2	0	1	1	0	1	0	0	0	0	0	0	1	0	1	0	0
LINC00628	1290	0	0	1	1	0	1	0	0	0	0	2	0	0	2	0	0	0	0
LINC00629	1333	12	12	0	6	0	16	8	8	9	11	5	0	15	4	4	1	3	2
LINC00630	3854	66	65	9	290	365	151	412	83	102	145	91	37	304	137	126	228	285	213
LINC00632	1398	350	243	11	524	538	432	626	169	152	272	190	43	397	471	492	162	423	428
LINC00634	1506	663	639	282	168	149	405	178	1049	743	1278	1075	144	729	696	763	225	244	109
LINC00635	1760	0	1	0	0	0	3	3	2	1	2	1	0	1	1	0	0	0	0
LINC00636	1306	11	6	1	7	6	8	11	11	14	7	9	2	8	16	9	5	7	5
LINC00637	2056	0	2	0	4	12	1	9	1	0	2	0	0	4	0	1	4	10	10
LINC00638	2518	12	12	3	40	41	17	19	13	3	8	6	2	31	12	19	33	16	72
LINC00639	4662	99	157	33	0	8	154	11	27	36	81	38	1	29	735	115	5	6	3
LINC00640	674	0	0	1	2	0	1	0	4	2	3	1	0	1	5	3	0	1	1
LINC00641	5715	2513	4057	702	5060	6346	6100	10321	2691	2173	4391	2957	727	5803	5238	4997	3943	6088	4511
LINC00642	709	5	7	5	3	4	8	6	5	11	7	10	1	9	14	8	3	7	3
LINC00643	6635	511	812	248	1519	4174	2047	7948	4532	5479	6025	4285	2024	7715	1044	1309	8509	4309	8427
LINC00645	3535	2	18	1	3	11	10	14	93	107	53	108	4	55	61	6	11	33	7
LINC00648	2886	0	1	0	9	56	3	4	1	4	12	4	2	4	0	3	82	102	44
LINC00649	2567	4	0	4	14	7	3	10	4	3	11	7	0	15	8	6	11	9	13
LINC00652	2191	11	33	5	43	29	34	35	19	20	24	16	5	64	20	34	34	37	38
LINC00653	2017	18	43	15	46	94	21	60	31	82	47	70	7	38	66	20	82	123	77
LINC00654	3591	54	51	46	457	1060	184	939	171	127	228	156	37	274	150	91	427	552	780
LINC00656	1911	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
LINC00658	1639	1	0	1	4	4	0	2	3	5	2	0	1	3	2	1	5	2	4
LINC00659	706	0	2	0	6	1	0	12	1	1	5	0	0	7	6	2	0	0	0
LINC00661	4192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00662	2051	76	105	34	463	620	136	583	175	131	205	130	39	282	202	153	298	578	350
LINC00663	2536	143	175	84	189	191	157	269	167	204	259	277	39	248	264	125	225	248	212
LINC00664	5890	7	10	2	112	123	16	16	14	8	57	20	9	26	7	8	341	115	199
LINC00665	2125	354	299	98	1009	836	338	840	422	437	638	533	88	665	418	528	993	997	651
LINC00667	5566	923	1363	341	4124	3946	1394	4411	1342	1521	2080	1615	308	2055	1678	1128	4447	4951	4137
LINC00668	4074	1	0	0	1	0	0	10	0	0	2	2	0	0	0	0	2	4	28
LINC00670	2767	3	1	2	0	1	4	1	1	1	2	4	0	2	0	0	1	0	0
LINC00671	2076	1	3	1	9	16	4	19	32	88	54	61	6	8	6	0	9	7	11
LINC00672	3692	820	1298	172	465	495	1549	1015	1066	789	1657	1021	312	1646	1264	1237	156	594	119
LINC00673	2257	189	204	155	362	502	156	517	449	440	806	428	56	526	268	213	528	474	229
LINC00674	11193	1439	2150	1394	5363	9036	1695	7571	4705	5793	4908	4700	542	5853	3593	1946	4655	7217	4103
LINC00678	962	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0
LINC00681	504	0	0	0	4	2	2	0	0	0	0	0	0	0	0	0	0	4	1
LINC00685	1340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00689	7965	17	14	1	7	35	8	38	19	27	38	33	4	29	13	21	13	31	21
LINC00691	2241	0	0	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0	1
LINC00692	1031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LINC00693	1654	39	69	47	43	51	43	57	227	262	199	251	20	212	111	58	27	71	33
LINC00696	3019	1	0	0	1	1	0	1	1	2	0	2	0	2	1	0	5	0	2
LINC00698	1969	1	9	1	0	0	0	0	2	2	3	1	0	4	0	2	0	1	0
LINC00700	2097	0	0	0	0	0	2	2	0	0	2	0	0	0	1	2	1	1	0
LINC00701	5505	0	0	0	3	1	0	5	1	2	1	1	0	0	2	2	1	10	2
LINC00705	1011	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0
LINC00707	3070	11	17	2	0	0	5	0	10	9	10	5	1	7	28	4	1	0	0
LINC00710	1112	1	0	0	17	25	2	34	5	10	5	7	0	9	3	1	1	17	4
LINC00837	4014	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
LINC00838	2958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00839	2390	246	222	75	94	76	227	70	74	106	135	117	20	162	380	191	348	48	19
LINC00840	1974	8	15	5	6	7	23	25	98	49	40	80	13	17	6	11	2	6	2
LINC00841	2885	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
LINC00842	2877	8	11	2	19	20	18	84	6	8	12	9	5	46	6	25	28	49	2
LINC00847	2082	205	382	124	268	477	303	568	378	472	495	341	64	435	685	298	389	539	315
LINC00851	726	2	2	0	0	0	2	0	0	1	1	0	0	1	0	1	0	0	0
LINC00852	1328	16	20	2	23	23	16	37	33	30	49	25	5	36	23	21	27	33	22
LINC00853	661	9	7	8	1	0	7	0	2	2	4	3	0	0	6	2	0	0	0
LINC00856	3752	29	41	11	24	36	42	40	24	25	36	40	10	56	33	40	32	33	28
LINC00857	2161	8	5	3	0	4	14	5	3	3	0	1	0	1	6	12	0	2	0
LINC00858	2685	0	0	2	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0
LINC00861	5454	6	5	10	1	11	12	18	13	10	21	4	5	9	11	3	2	8	4
LINC00862	1417	3	7	2	0	0	3	2	1	0	3	3	0	5	10	2	0	2	0
LINC00863	1164	78	106	21	422	289	93	263	82	88	245	100	23	252	112	107	220	280	260
LINC00865	4289	82	207	14	2050	2624	134	3383	349	425	245	389	47	478	106	375	1276	2082	1355
LINC00869	1260	28	16	1	4	14	27	37	15	22	35	23	6	41	16	48	5	19	6
LINC00870	2700	8	20	0	6	2	7	1	2	2	19	2	0	2	41	6	0	2	1
LINC00871	1193	0	0	0	0	0	1	7	3	5	4	2	0	0	0	0	3	1	2
LINC00879	2994	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00880	2016	6	0	0	0	1	0	1	2	3	4	3	1	1	4	9	14	5	1
LINC00881	791	5	5	1	0	1	10	0	5	0	1	6	1	2	7	5	2	0	0
LINC00882	3026	99	185	36	43	55	187	97	83	59	116	82	23	151	179	159	21	77	34
LINC00884	2711	100	74	7	311	488	119	604	56	89	195	90	29	309	100	139	174	448	285
LINC00885	2237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00886	3337	23	25	29	2	19	7	50	14	20	9	19	4	43	34	21	14	43	5
LINC00887	3896	6	5	1	3	2	6	0	2	2	1	2	0	15	3	4	0	2	1
LINC00888	1671	303	536	127	310	621	511	595	646	527	751	689	98	745	538	581	502	706	462
LINC00889	2908	207	550	50	365	552	450	1120	672	589	755	669	134	879	403	360	358	847	301
LINC00891	1064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00892	689	0	1	1	2	2	1	2	7	1	10	5	0	6	0	0	1	0	0
LINC00893	3032	53	88	30	170	248	84	205	90	74	116	80	17	92	137	122	168	224	181
LINC00894	5796	103	169	68	304	405	99	295	139	165	234	192	25	193	326	139	349	293	346
LINC00895	710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00896	2206	3	0	3	2	1	3	0	4	2	1	2	0	0	1	5	3	1	1
LINC00898	4314	60	37	3	0	0	108	1	1	0	3	0	0	0	51	150	0	1	0
LINC00899	1610	46	33	11	25	72	15	11	37	24	58	47	8	44	56	24	67	65	77
LINC00900	3150	77	97	29	54	68	102	128	95	62	112	82	29	137	118	108	77	119	41
LINC00904	471	1	0	0	0	1	0	1	1	0	3	0	0	0	0	0	0	1	1
LINC00905	1800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00906	3444	6	3	8	2	15	3	12	9	6	14	7	1	27	4	4	10	14	8
LINC00907	7910	1	2	0	8	17	5	6	7	11	3	7	1	9	5	1	10	11	13
LINC00908	2243	0	0	1	1	2	0	5	2	2	1	2	0	1	0	0	2	6	1
LINC00909	3474	184	553	122	678	792	431	1088	402	306	453	393	56	468	658	297	714	1014	558
LINC00910	4473	24	50	14	42	62	36	94	35	25	30	42	4	42	57	32	49	80	51
LINC00911	591	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0
LINC00917	2902	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
LINC00919	1658	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0
LINC00920	912	0	8	4	1	4	6	10	11	5	6	13	2	10	48	3	3	12	7
LINC00921	2442	26	15	7	23	22	30	30	26	37	64	38	9	47	26	47	23	35	34
LINC00922	1760	1	2	0	1	1	0	3	2	11	6	7	0	3	4	0	3	1	3
LINC00923	1517	7	1	0	1	2	11	2	3	4	2	2	0	3	6	10	0	1	0
LINC00924	2684	8	11	18	0	10	33	6	40	39	40	40	6	24	19	5	0	10	2
LINC00926	2538	36	51	25	85	142	28	97	81	102	95	87	6	81	107	48	126	174	100
LINC00927	2915	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0
LINC00928	2388	19	27	20	1370	2141	48	1087	203	185	343	247	19	250	77	47	1485	1044	2019
LINC00929	1485	0	1	0	0	0	0	0	1	2	0	0	0	5	0	0	0	0	0
LINC00930	1762	2	4	0	8	33	6	11	7	3	6	1	0	43	17	31	6	18	5
LINC00933	2798	3	5	8	14	3	9	15	5	4	9	6	1	7	10	4	9	11	7
LINC00934	2291	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
LINC00937	3033	14	9	7	20	17	19	15	39	33	48	53	8	27	3	71	10	30	11
LINC00938	2202	244	344	204	1099	1346	306	1389	596	665	805	666	142	654	603	268	1011	1536	1031
LINC00939	6471	2	2	0	20	23	5	5	3	7	8	3	2	20	1	7	15	10	7
LINC00940	2352	35	58	4	13	7	16	14	8	0	8	4	0	19	46	11	4	9	4
LINC00941	1895	8	15	0	3	3	26	5	17	2	16	15	6	14	14	28	3	8	2
LINC00942	2244	5	3	6	4	16	2	4	3	5	0	7	0	18	5	3	6	7	3
LINC00943	2259	61	71	92	393	436	55	92	866	806	470	893	58	319	143	51	358	226	490
LINC00944	621	1	2	1	5	11	0	4	11	18	13	28	3	5	6	1	5	5	13
LINC00950	5245	582	803	173	647	767	1075	1385	1124	1001	1830	859	267	1883	1014	1017	534	838	407
LINC00951	3122	33	74	14	60	111	65	130	69	86	167	96	6	171	69	132	37	139	46
LINC00954	4607	3	1	3	23	54	3	24	3	10	13	13	4	9	9	2	60	23	57
LINC00955	2483	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	2	0
LINC00957	3046	850	823	190	910	577	828	1181	738	466	1085	770	133	1769	1000	1782	545	829	470
LINC00958	1559	3	7	8	10	12	2	7	20	12	9	13	0	21	21	4	14	22	13
LINC00960	2886	8	28	19	233	86	40	131	74	89	64	36	5	87	52	17	126	98	94
LINC00963	3103	162	198	122	291	252	190	200	213	219	265	169	36	162	282	229	302	366	285
LINC00964	4065	3	2	0	5	15	4	21	11	5	10	8	3	27	11	1	7	11	8
LINC00967	1503	0	4	1	0	3	5	2	27	15	12	42	2	6	21	2	6	8	6
LINC00968	2520	0	0	0	0	6	0	1	0	2	1	2	1	1	0	0	0	0	1
LINC00971	7309	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0
LINC00974	2141	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LINC00977	1153	0	0	0	0	0	0	1	2	1	0	0	0	1	1	0	0	0	0
LINC00987	2469	31	117	37	40	53	56	75	92	141	172	68	13	90	100	86	49	86	43
LINC00989	2054	0	0	3	7	1	2	0	0	0	0	0	0	0	1	0	1	2	1
LINC00992	3091	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0
LINC00994	2129	0	1	0	2	7	2	10	6	5	10	3	0	8	1	1	2	7	5
LINC00996	2043	13	8	1	8	17	3	9	33	58	61	37	7	21	12	7	14	8	13
LINC00997	4639	148	234	68	392	490	194	350	324	375	473	339	57	555	410	201	331	421	291
LINC00999	5253	90	136	39	251	271	56	117	94	88	188	129	16	221	219	100	93	136	121
LINC01000	10263	774	1028	313	6583	8834	1036	6443	1523	1823	2906	2281	330	2928	2366	1505	5323	6693	5067
LINC01001	5358	4	26	1	11	62	11	17	8	6	13	8	0	14	26	1	20	19	17
LINC01002	4874	1	11	1	2	2	3	0	0	1	7	2	1	13	11	6	4	2	5
LINC01003	1422	123	230	79	329	360	144	753	493	412	348	408	68	97	256	218	540	589	548
LINC01004	9419	171	392	93	760	1192	337	801	398	846	878	647	73	826	597	314	695	970	796
LINC01005	2891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01010	2193	8	25	2	0	1	7	0	0	0	1	2	0	4	39	23	0	0	0
LINC01011	1636	109	79	70	156	253	125	307	154	169	182	206	20	345	167	164	148	295	150
LINC01012	3194	7	6	1	148	240	22	198	14	27	27	25	5	31	17	16	149	248	154
LINC01013	1841	1	7	0	1	2	4	6	11	9	19	13	2	11	5	2	4	15	2
LINC01014	548	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01015	22328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01016	3194	2	2	0	0	0	1	0	5	0	1	1	1	1	0	0	0	0	0
LINC01018	3307	367	406	57	395	501	411	545	274	179	464	303	82	867	412	444	122	360	140
LINC01019	3199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01020	1798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LINC01023	437	15	8	13	24	31	21	20	23	21	23	15	2	17	15	6	25	30	23
LINC01056	1234	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
LINC01060	2871	3	3	0	0	3	0	6	0	0	0	0	0	4	0	1	0	3	0
LINC01061	4818	99	186	38	133	222	77	77	93	124	175	150	19	208	230	107	136	81	127
LINC01085	2342	4	12	0	0	8	9	3	8	16	10	22	2	9	19	2	13	10	17
LINC01088	1575	8	17	21	269	24	17	48	52	60	42	51	9	54	14	8	22	24	19
LINC01089	2101	380	505	244	2908	3525	310	2153	571	815	960	774	101	997	673	503	3398	3040	3086
LINC01091	8982	1	3	1	2	5	2	8	19	15	13	14	8	15	5	5	10	1	0
LINC01093	3158	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LINC01094	4286	59	65	86	15	32	63	8	93	88	108	79	3	176	126	49	17	18	14
LINC01095	1717	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LINC01096	1749	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	2	1
LINC01097	2125	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LINC01098	1034	1	1	1	0	0	0	1	0	1	1	0	1	2	5	0	0	4	0
LINC01101	2015	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	2	5
LINC01102	1505	149	228	65	3946	6494	332	5899	1026	1259	958	904	253	1354	549	161	598	6164	1794
LINC01106	2367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01107	2420	3	0	3	0	6	2	10	1	7	1	0	0	0	3	1	6	7	2
LINC01114	3752	75	118	102	684	1297	90	1084	167	196	165	202	36	233	149	98	292	776	282
LINC01115	1521	0	5	0	15	5	39	0	6	3	13	4	0	27	29	58	1	0	7
LINC01116	1058	11	41	7	0	1	33	6	15	6	7	7	0	5	42	42	1	0	0
LINC01118	1043	1	3	1	1	2	3	0	1	7	5	2	0	5	5	4	2	2	0
LINC01119	2378	13	43	6	7	5	32	10	20	16	28	14	5	17	26	22	13	9	11
LINC01120	3055	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	2
LINC01121	3049	0	4	1	0	2	1	0	3	1	3	1	1	4	0	1	0	3	2
LINC01122	4296	73	96	11	1349	1003	123	885	162	158	217	196	44	376	164	144	1013	1124	1005
LINC01123	6127	287	374	49	260	139	536	352	345	723	551	756	138	928	294	430	5	188	18
LINC01124	2129	0	2	0	4	5	0	4	4	5	3	9	1	10	3	3	0	4	2
LINC01126	1645	5	6	3	21	32	1	10	9	19	28	15	1	22	16	4	48	21	14
LINC01128	9233	1091	973	194	3854	4148	1592	6248	1050	1046	1788	1164	303	2259	1439	1758	2177	3621	2229
LINC01132	3793	1	1	2	1	2	0	4	5	3	6	1	0	7	3	3	10	10	8
LINC01133	1138	0	0	1	3	0	0	11	1	1	2	2	0	0	0	0	6	5	8
LINC01134	2781	4	4	1	1	2	4	2	3	3	4	3	0	10	4	5	1	3	5
LINC01135	1123	33	37	11	19	1	36	6	14	10	27	15	9	30	62	28	1	7	6
LINC01136	2741	5	2	1	13	4	9	4	3	5	9	2	0	7	5	5	3	2	0
LINC01137	1427	51	38	16	7	6	13	2	11	10	26	13	3	15	83	27	6	4	4
LINC01138	4553	55	36	11	10	43	50	92	43	39	105	59	11	105	37	77	6	22	10
LINC01139	1531	6	7	22	10	18	11	38	15	17	20	37	1	10	5	6	19	28	23
LINC01140	5584	149	281	34	142	113	249	175	75	57	152	85	24	190	241	330	119	145	148
LINC01141	3783	36	68	6	27	32	55	19	75	106	112	68	20	128	66	50	11	38	12
LINC01142	1725	0	0	0	0	0	0	2	0	0	3	0	0	0	1	0	0	0	2
LINC01144	1710	19	34	14	27	34	19	18	24	20	36	23	2	13	37	16	19	43	25
LINC01146	831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01148	1763	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
LINC01160	1620	9	7	1	2	5	1	8	11	17	27	13	3	18	14	7	12	9	13
LINC01164	3384	154	57	67	0	0	206	1	40	23	93	33	4	21	83	247	4	3	0
LINC01168	5397	129	28	6	1	3	229	2	29	21	57	23	1	48	95	397	1	9	0
LINC01184	5665	497	739	265	429	550	774	746	756	715	945	840	127	748	1017	559	406	630	358
LINC01185	1705	3	2	0	1	3	2	0	3	5	6	4	0	2	8	4	1	1	2
LINC01189	1568	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0
LINC01191	852	0	1	0	0	2	0	1	0	0	0	1	0	0	0	1	1	1	0
LINC01192	1519	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LINC01193	3779	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LINC01194	624	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LINC01197	1378	21	62	19	70	174	65	319	36	37	59	65	11	97	49	55	11	124	9
LINC01203	580	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LINC01205	1493	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LINC01216	824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LINC01220	488	9	6	4	0	3	3	4	6	0	3	1	1	7	5	10	0	1	0
LINC01225	1306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01226	2741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LINC01235	2328	5	11	2	12	9	6	3	9	11	19	9	0	29	8	3	1	19	13
LINC01239	2347	0	3	1	0	4	2	0	1	0	2	2	0	1	3	2	11	7	5
LINC01242	1255	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1
LINC01249	2674	0	1	0	1	4	0	2	1	0	1	0	0	0	0	0	2	4	2
LINC01252	3671	69	130	10	33	78	72	58	79	94	127	75	18	110	123	64	47	93	70
LINC01257	2473	34	15	1	2	8	30	16	8	0	14	10	3	15	41	36	5	4	3
LINC01260	4291	176	236	33	77	63	237	80	167	117	228	152	52	358	267	161	42	89	50
